id;name;price;description;;
1;DeLorean DMC-12;30.000;"Wagen aus dem Film ""Zurück in die Zukunft"" zu verkaufen";;
2;Lotus Esprit S1;25.500;"Wagen aus dem Film ""007 - Der Spion, der mich liebte""";;
3;Toyota Supra;15.250;"Wagen aus dem Film ""The Fast and the Furious""";;
4;VW Käfer;8.000;"Ein kleines, schickes Auto bekannt durch ""Herbie""";;
5;Endschalldämpfer;300;Wenn der Wagen mal wieder zu laut ist;;
6;Katalysator;250;Perfekte Entsorgung der Abgase;;
7;Bremsscheiben;100;Verkaufe fast neue Bremsscheiben;;
8;Scheinwerfer;80;Hauptscheinwerfer bei Dunkelheit;;
9;Motorinstandsetzung;450;Ich biete meine Dienste für die Reparatur von Motoren an;;
10;Tachoreparatur;200;Hilfe für defekter Tacho Software /Hardware;;
11;Wartungsanleitung;30;Verkaufe meine Wartungsanleitung für den DeLorean DMC-12;;
12;Reifen Continental;60;Breite: 195, Quer: 65, Zoll: 15;;
13;Reifen Pirelli;65;Breite: 195, Quer: 65, Zoll: 15;;
14;Reifen Michelin;67;Breite: 195, Quer: 65, Zoll: 15;;
15;Reifen Bridgestone;70;Breite: 195, Quer: 65, Zoll: 15;;
16;UKW Radio;33;Marke: TechniSat , besitzt DAB+AM & FM, mit Antenne;;
17;HiFi-Reciver;29;Marke Sony , 725 Watt, Schwart;;
18;Plattenspieler;300;Ich verkaufe meinen alten guten Plattenspieler;;
19;Kompaktanlage;175;Nach Hausauflösung muss ich mich nun vom meiner geliebten Kompaktanlage trennen. ;;
20;AV-Receiver;120;AV-Receiver für alle Arten von Boxen, WLAN tauglich;;
21;Lautsprecher;115;BOSE Lautsprecher zu verkaufen;;
22;Speaker;90;Speaker Bundle (Google,Amazon,JBL) für einen Preis;;
23;Kopfhörer;30;"Fast neuwertige ""Teufel""-Kopfhörer zu verkaufen";;
24;Iphone 8;599;64 GB, Saphirblack, minimale Gebrauchsspuren;;
25;Iphone X;999;128 GB, fette Kamera mit Filtern, Akku Defekt;;
26;Iphone 7;399;32GB, IOS 6 installiert, Jailbreaked;;
27;Samsung Galaxy A51;250;128 GB, Android 10.0, 32MP Kamera;;
28;LG G8s ThinQ;300;128 GB, Mirror Black, gebraucht;;
29;Huawei P30 lite;180;128 GB, Midnight Black, fast neuwertig;;
30;AVM FRITZ!Fon;30;Modell: C5 (DECT), 300m maximale Entfernung (draußen), 40m maximale Entfernung (drinnen);;
